"Variety Name",Description,Parentage,"IVT Variety","Breeder Name","Breeder Address 1","Breeder Address 2","Breeder Town","Breeder Region","Breeder Postcode","Breeder Country","Breeder Email","Breeder Webpage","Breeder Phone","Breeder Fax","Breeder Agent Name","Breeder Agent Address 1","Breeder Agent Address 2","Breeder Agent Town","Breeder Agent Region","Breeder Agent Postcode","Breeder Agent Country","Breeder Agent Email","Breeder Agent Webpage","Breeder Agent Phone","Breeder Agent Fax","Breeder Rights (expiry)","Shape of tuber","Colour of skin","Colour of flesh","Depth of eyes","Smoothness of skin","Colour of base of lightsprout",Maturity,"Height of plants","Colour of flower","Frequency of berries","Resistance to bruising","Resistance to splitting","Resistance to Potato Virus YO","Resistance to Potato Virus YN","Resistance to Potato Virus A","Resistance to Potato mop top (spraing)","Resistance to Potato Leafroll Virus","Resistance to Potato Cyst Nematode (Pa 2/3 - 1) (Globodera pallida Pa 2/3 - 1)","Resistance to Potato Cyst Nematode (Ro1) (Globodera rostochiensis Ro1)","Resistance to common scab (Streptomyces scabiei)","Resistance to blackleg (Pectobacterium atrosepticum)","Resistance to dry rot (Fusarium sulphureum)","Resistance to dry rot (Fusarium coeruleum)","Resistance to skin spot (Polyscytalum pustulans)","Resistance to silver scurf (Helminthosporium solani)","Resistance to black dot (Colletotrichum coccodes)","Resistance to powdery scab (Spongospora subterranea)","Resistance to late blight on tubers (Phytophthora infestans)","Resistance to late blight on foliage (Phytophthora infestans)",Dormancy,"Dry Matter",Determinacy,"Cooking Type"
Safari,"Tubers have good  resistance to bruising and splitting.Â Â Trials have found good resistance to silver scurf and blackleg.Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Obelix x Amadeus ",1,-,-,-,-,-,-,-,-,-,-,-,"Branston Ltd","Mere Road",Branston,Lincoln,Lincolnshire,"LN4 1NJ","UNITED KINGDOM",,,,,-,"Short - oval",Yellow,"Light yellow","Very shallow - shallow",Medium,-,Maincrop,Medium,White,Medium,6,6,-,-,-,-,-,2,7,4,8,6,6,5,8,6,4,3,5,-,-,-,-
Safiyah,"Safiyah is a second early variety for general purpose use.  Tubers have poor resistance to splitting and some resistance to bruising.Â Â Trials have found good resistance to potato leafroll virus, blackleg and dry rot. (<i>F. sulphureum</i>).Â This variety has low resistance to late blight on tubers.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Fabula x Felsina",1,"Higgins Agriculture Ltd","Greenbank House",Finningley,Doncaster,,"DN9 3BZ","UNITED KINGDOM",potatoes@higgins.co.uk,www.higgins.eu.com,"+44 (0)1302 770591","+44 (0)1302 770668",-,-,-,-,-,-,-,-,-,-,-,-,Oval,White,"Light yellow",Shallow,-,Pink,"Second Early","Short - medium","Red violet",Few,5,2,-,1,9,-,7,2,7,6,8,9,6,7,6,2,3,1,3,-,-,-,-
"Sagitta (2006)","Sagitta is an early maincrop variety for the general purpose market.  In trials the variety demonstrated resistance to dry rots (<i>F. sulphureum</i> and <i>F. coerulem</i>), mop top (spraing), PCN Ro1, silver scurf and splitting.  The variety had susceptibility to foliage and tuber late blight and PCN Pa2/3.","Gallia x RZ-86-2918",1,"HZPC Holland B.V.","Box 88",NL-8500,"AB Joure",,,NETHERLANDS,,,,,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",2036,Oval,Yellow,"Light yellow",-,-,-,"Early Maincrop",-,"Red violet",-,6,7,-,-,-,8,-,2,8,6,6,9,7,5,7,4,4,2,3,-,-,-,-
Sandpiper,"Tubers have good  resistance to splitting.Â Â Trials have found good resistance to blackleg and potato virus Yo .Â Â This variety has low resistance to late blight on tubers and foliage.Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","Wischip x Bonaparte",1,"Robert Hoopes","4295 Tenderfoot Road",,Rhinelander,,"WI 54501","UNITED STATES",,,,,Pepsico,"c/o Cambridge University Farm","Huntingdon Road",Girton,Cambridge,"CB3 0LH","UNITED KINGDOM",,,,,2036,"Short - oval",White,"Light yellow","Shallow - medium",Smooth,Pink,"Early Maincrop",Short,White,Absent,3,7,8,-,-,-,5,3,2,5,8,-,-,-,-,-,3,1,3,-,-,-,-
Sante,"Suitable for pre-pack, processing and general ware. Most commonly grown organic variety.  Susceptible to silver scurf, skin spot and blackleg.  Tests show resistance to Dry rot <i> Fusarium sulphureum </i>, powdery scab, potato leafroll virus, potato virus Yo and bruising.  Tests for potato cyst nematode shows it is resistant to <i> Globodera rostochiensis </i> Ro1 and susceptible to <i> Globodera pallida </i> Pa2/3,1. ","WY 66-13-636 x AM 66-42",1,-,-,-,-,-,-,-,-,-,-,-,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245",2015,"Short - oval",Cream,"Light yellow","Shallow - medium",Smooth,Pink,Maincrop,Medium,White,Absent,7,6,8,-,-,-,8,4,9,6,3,7,6,3,3,5,8,6,4,-,-,-,-
Saphire,"Trials have found strong resistance to blackleg.Â Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>).Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","Bydand x Caesar",1,"Handelmij Van Rijn BV","Postbus 98",,Poeldijk,,"2685 DG",NETHERLANDS,,,"+31 (0) 174  41 94 00","+31 (0) 174  42 01 39",-,-,-,-,-,-,-,-,-,-,-,2035,"Short - oval",White,-,Shallow,-,Pink,"Early Maincrop",-,White,-,6,6,-,-,-,-,-,3,4,6,9,1,5,6,6,5,4,4,4,-,-,-,-
"Sarpo Gwyn","Tubers have good  resistance to splitting, silver scurf and skin spot.Â Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>) and blackleg.Â Â The variety has some level of resistance to foliage late blight, powdery scab, black dot, common scab, virus Yo and bruising.  Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.  ","76.P.012 14268 x 79D 2152.3002",1,"SÃ¡rvÃ¡ri Research Trust","Siambra Gwynion Llandygai",,Bangor,,"LL57 4BG","UNITED KINGDOM",info@sarvari-trust.org,www.sarvari-trust.org,"+44 (0)1248 364260","+44 (0)1248 681730",-,-,-,-,-,-,-,-,-,-,-,2040,Oval,White,Cream,Shallow,-,Pink,Maincrop,Tall,White,-,6,7,6,-,-,-,5,2,9,6,3,1,4,7,7,6,6,5,6,-,-,-,-
"Sarpo Mira"," Trials have found good resistance to blackleg, late blight on foliage, late blight on tubers and potato virus Yo.  Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","76 PO 12 14 268 x D187",1,"Sarvari Research Trust",Llandeydai,,Bangor,,,"UNITED KINGDOM",,,,,"Danespo A/S","Ryttervangen 1",,Give,,"DK - 7323",DENMARK,danespo@danespo.com,,"+45 75 73 59 00",,2034,"Oval - long",Red,White,"Shallow - medium",Smooth,Pink,Maincrop,-,"Red violet",Few,6,3,9,-,-,-,5,2,2,4,7,-,-,-,-,-,5,9,7,-,-,-,-
"Sarpo Shona","Trials have found good resistance to black dot, powdery scab and potato virus Yo. Â This variety has low resistance to dry rot (<i>Fusarium sulphureum</i>).Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","87.41.1090 x 84.13.2 ",1,"SÃ¡rvÃ¡ri Research Trust","Siambra Gwynion Llandygai",,Bangor,,"LL57 4BG","UNITED KINGDOM",info@sarvari-trust.org,www.sarvari-trust.org,"+44 (0)1248 364260","+44 (0)1248 681730",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,4,7,-,-,-,-
"Sarpo Una","Trials have found good resistance to powdery scab, potato virus Yo and skin spot.  Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1 and splitting.","84.1.44 x 78.K.62.11 ",1,"SÃ¡rvÃ¡ri Research Trust","Siambra Gwynion Llandygai",,Bangor,,"LL57 4BG","UNITED KINGDOM",info@sarvari-trust.org,www.sarvari-trust.org,"+44 (0)1248 364260","+44 (0)1248 681730",-,-,-,-,-,-,-,-,-,-,-,2039,"Oval - long",Red,White,"Very shallow - shallow",-,Pink,"Early Maincrop",Medium,"Red violet",-,5,1,8,-,-,-,5,2,3,5,6,4,3,7,6,5,7,5,6,-,-,-,-
Sassy,"Trials have found good resistance to powdery scab, skin spot and blackleg.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and partial resistance to  <i>Globodera pallida</i> Pa 2/3, 1.","G82TT1371 x Promesse",1,"Germicopa SAS","1 Allee Loeiz Herrieu",,"29334 Quimper Cedex",Brittany,,FRANCE,,,,,"Germicopa UK","1 Wold View Road North",,Driffield,"East Yorkshire","YO25 6RP","UNITED KINGDOM",warren.keyes@germicopa.com,,"07867 442287",,-,Oval,White,-,"Shallow - medium",-,Blue,Maincrop,Medium,"Red violet",-,5,4,-,-,-,-,-,4,9,4,9,-,-,8,6,5,7,5,4,-,-,-,-
Saturna,"Late maincrop maturity producing low yields of small tubers.  High resistance to common scab and good resistance to spraing and mild mosaic virus.  Resistant to potato cyst nematode <i> Globodera rostochiensis</i> Ro1.  Susceptible to drought.  High dry matter with a good fry colour.  Suitable for long term storage.","Maritta x (Record x CPC 1673-1)",1,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245","GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Short - oval",Cream,"Medium yellow","Medium - deep",Medium,Pink,Maincrop,Medium,White,Many,4,4,4,-,-,-,6,2,9,8,-,6,6,-,-,-,-,5,4,-,-,-,-
Savanna,"A variety presenting excellent appearance, smooth skin and high yields of white fleshed tubers suitable for washing.  Savanna shows very good resistance to common scab and Rhizoctonia and good resistance to tuber blight and gangrene.  It performs very well in warm climates and keeps well in storage.","Famosa x Atlantic",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",-,Oval,Cream,White,Shallow,Smooth,Pink,Maincrop,Medium,White,Few,-,-,-,-,-,-,-,-,-,8,5,-,-,-,-,-,6,7,5,-,-,-,-
Saxon,"Consistent high second early yield of bakers.  Boils and bakes with good texture and freedom from cooking blackening or disintegration.  Produces bold, bright tubers with excellent black dot resistance allowing long-term storage. Produces early dry matter with good fry colour.  Shows susceptibility on late blight on foliage.  Resistance to blackdot, dry rot <i> Fusarium sulphureum </i>, blackleg, potato leafroll virus, bruising and splitting.  Resistant to potato cyst nematode <i> Globodera rostochiensis</i> Ro1.","Kingston x Desiree",1,"Plant Breeding Institute",Unknown,,Norwich,,,"UNITED KINGDOM",,,,,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",2022,Oval,White,Cream,Shallow,Smooth,Pink,"Second Early","Short - medium","Red violet",Absent,7,7,5,-,-,-,8,2,9,5,8,7,4,6,5,7,6,4,3,-,-,-,-
Scapa,,"Mayan Twilight x Mayan Gold",1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Oval - long",Yellow,"Deep yellow","Shallow - medium",-,Blue,Maincrop,-,-,-,4,7,-,-,-,8,-,2,2,9,6,1,8,5,4,6,7,5,6,-,-,-,-
Sebastian,"High yielding parti-coloured variety with drought resistance.  Suitable for the table market.  Performs well in the Mediterranean basin.  Susceptible to late blight on foliage and potato cyst nematode <i> Globodera pallida </i> Pa2/3,1.  Tests show resistance to potato virus Yo and is resistant to blackleg and potato cyst nematode <i> globodera rostochiensis </i> Ro1.","B890 AB42 x Cara",1,"Scottish Crop Research Institute",Invergowrie,,Dundee,,"DD2 5DA","UNITED KINGDOM",,www.scri.sari.ac.uk,"+44 (0)1382 562731",,"Pan European Potato Enterprise Ltd","The Cottages","Wester Meathie",Forfar,Angus,"DD8 1XJ","UNITED KINGDOM",info@pep-eu.com,www.pep-eu.com,"+44 (0) 1307 820792","+44 (0) 1307 820793",-,"Oval - long","Red parti-coloured",Cream,"Shallow - medium",Medium,Pink,"Early Maincrop",Tall,White,Absent,6,6,8,-,-,-,4,2,9,4,9,-,-,-,-,-,5,6,3,-,-,-,-
Setanta,"A very high dry matter potato with resistance to and dry rot (<I>Fusarium coeruleum</I>), blackleg, mop top (spraing), bruising and splitting.  The variety has susceptibility to tuber late blight and common scab.  It keeps very well in storage and its eating quality is excellent.  It is also suitable for starch production, crisping and organic production.  Tests for potato cyst nematode have demonstrated susceptibility for both <I>Globodera rostochiensis</I> Ro1 and <I>Globodera pallida</I> Pa2/3 and 1.","Brodick x Rooster",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",-,Oval,Red,"Medium yellow",Shallow,Medium,Pink,Maincrop,"Medium - tall","Blue violet",Medium,7,7,-,-,-,-,-,2,1,3,7,6,9,4,4,4,6,3,5,-,-,-,-
Shannon,"An early variety. Shannon produces high early yields of large good eating potatoes particularly suitable for baking.  Susceptible to powdery scab, potato virus Yo, potato cyst nematode <i> globodera pallida </i> Pa2/3,1 and <i> Globodera rostochienisis </i> Ro1.  Tests show resistance to common scab, potato leafroll virus, bruising and splitting.  ","O Linda x Cara",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2026,Oval,Red,White,Shallow,Smooth,Pink,"Early Maincrop","Medium - tall",Violet,Few,7,7,1,-,-,-,8,2,2,7,4,-,-,-,-,-,3,5,4,-,-,-,-
"Sharpe's Express","This variety has low resistance to dry rot, late blight on foliage and late blight on tubers.  Susceptible to dry rot <i> Fusarium coeruleum </i>, late blight on foliage and tubers, skin spot, potato leafroll virus and potato virus Yo.  ",-,1,-,-,-,-,-,-,-,-,-,-,-,"GB Seed Industry","These varieties are freely available and","sources can be found by clicking on the","national flags on each","variety description page.",,"UNITED KINGDOM",,,,,-,"Oval - long",White,Cream,Shallow,Smooth,Violet,"First Early",Medium,"Red violet",Absent,-,-,3,-,-,-,3,-,-,6,-,-,2,3,-,-,-,2,2,-,-,-,-
Shelford,"Â Trials have found good resistance to blackleg, silver scurf, potato leafroll virus, potato virus Yo  and potato mop top (spraing).Â This variety has low resistance to dry rot <i> Fusarium sulphureum </i>, late blight on tubers and common scab. Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","FL1625 x Hermes",1,"Robert Hoopes","4295 Tenderfoot Road",,Rhinelander,,"WI 54501","UNITED STATES",,,,,Pepsico,"c/o Cambridge University Farm","Huntingdon Road",Girton,Cambridge,"CB3 0LH","UNITED KINGDOM",,,,,2037,"Short - oval",White,"Medium yellow","Shallow - medium",Smooth,Pink,"Early Maincrop",Medium,"Red violet",Absent,4,5,7,-,-,-,7,2,2,3,7,1,5,6,8,5,5,2,4,-,-,-,-
Shepody,"Early maincrop maturity producing high yields of large long oval tubers.  Good resistance spraing. Moderately susceptible to late blight on foliage and tubers and potato virus Yo. Susceptable to gangrene and potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globodera pallida </i> Pa 2/3,1 . Medium to high dry matter with good fry colours.","Bake King x F58050",1,"Agriculture Canada","850 Lincoln Road",,Fredericton,"New Brunswick","E3B 9H8",CANADA,scot.seed@agrolon.co.uk,www.gnb.ca/0027/Index-e.asp,"(506) 453-2666",,"McCain Potatoes",Pugeston,,Montrose,Angus,"DD10 9LF","UNITED KINGDOM",seedsales@mccain.co.uk,www.mccain.co.uk,"+44 (0)1674 830681","+44 (0)1674 830289",2018,Long,Cream,Cream,"Shallow - medium",Medium,Pink,"Early Maincrop",Tall,"Red violet",Absent,6,6,3,-,-,-,6,2,2,6,6,-,-,-,-,-,5,3,2,-,-,-,-
Sierra,"Trials have found good resistance to potato leafroll virus. This variety has low resistance to skin spot.","LR3 x D42-8",1,"Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741","Cygnet PB Ltd","Blairfield Farm",,Milnathort,Kinross-shire,"KY13 OSG","UNITED KINGDOM",cygnetpb@harleys.co.uk,www.cygnetpb.com,"+44 (0)1577 862 929","+44 (0)1577 863 741",2021,"Short - oval",White,Cream,"Shallow - medium",Smooth,Blue,"Early Maincrop","Short - medium","Blue violet",Medium,6,-,4,-,-,-,9,-,-,4,6,-,6,2,-,-,-,4,4,-,-,-,-
Sifra,"..Main Crop",,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Oval,Yellow,Cream,-,Medium,-,"Late Maincrop",-,White,-,3,-,-,2,-,4,-,4,9,3,-,-,4,-,-,-,2,8,3,Medium,,-,-
Skywalker,,,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2050,"Short - oval",White,"Light yellow",Shallow,-,-,"Early Maincrop",-,-,-,6,4,-,2,9,-,3,3,9,8,5,4,5,-,-,-,5,5,2,-,-,-,-
Slaney,"Very high yielding variety, it produces a very vigorous canopy and abundant flowers.  Slaney is a very efficient nutrient user allowing less fertiliser applications.  It eats well, being good for boiling, steaming, baking and chipping.  Susceptible to late blight on tubers and potato leafroll virus.  Shows resistance to splitting.  When tested for resistance to potato cyst nematode, Slenay showed resistance to <i> Globodera rostochiensis </i> Ro1 and susceptibility to <i> Globodera pallida </i> Pa2/3,1.   ","Maris Page x Cara",1,"Teagasc Crops Research Centre","Oak Park Research Centre",,Carlow,,,IRELAND,,www.teagasc.ie,"+353 59 9170200","+353 59 9142423","Irish Potato Marketing Ltd","East Den Brae",,Letham,Angus,"DD8 2PJ","UNITED KINGDOM",info@ipmscotland.co.uk,www.ipm.ie,"+44 (0)1307 818121","+44 (0)1307 818131",2021,Oval,White,White,Shallow,Medium,Pink,Maincrop,Medium,White,Few,5,7,6,-,-,-,3,2,9,6,5,-,-,-,-,-,4,3,5,-,-,-,-
Smile,"Table potato with unusual part- coloured skin suitable for pre-packing.  Smile has attracted great interest due to its unique colouration.  With its bright red skin and distinctive white â€˜smileâ€™ around the eye this variety is unmistakeable. Susceptible to late blight on foliage, splitting and potato cyst nematode <i> Globodera rostochiensis </i> Ro1 and <i> Globoderaa pallida </i> Pa2/3,1.  Resistance to powdery scab.  ","Rode Eersteling x SVP",1,-,-,-,-,-,-,-,-,-,-,-,"Higgins Agriculture Ltd","Greenbank House",Finningley,Doncaster,,"DN9 3BZ","UNITED KINGDOM",potatoes@higgins.co.uk,www.higgins.eu.com,"+44 (0)1302 770591","+44 (0)1302 770668",2036,Oval,"Red parti-coloured",Cream,Shallow,Smooth,Pink,"Second Early","Very short","Red violet",Absent,4,1,-,-,-,-,-,2,2,6,6,-,-,-,-,-,7,4,3,-,-,-,-
"Smith's Comet","Â Trials have found good resistance to potato virus Yo.Â Â This variety has low resistance to late blight on tubers and common scab.Â Â Tests for resistance to potato cyst nematode demonstrated susceptibility to both <i>Globodera rostochiensis</i> Ro1  and <i>Globodera pallida</i> Pa 2/3, 1.","Erntestolz x Trent",1,-,-,-,-,-,-,-,-,-,-,-,Pepsico,"c/o Cambridge University Farm","Huntingdon Road",Girton,Cambridge,"CB3 0LH","UNITED KINGDOM",,,,,2036,"Short - oval",White,"Light yellow",Medium,Smooth,Pink,"Early Maincrop",Medium,White,Few,4,4,9,-,-,-,6,2,2,3,4,-,-,-,-,-,5,1,4,-,-,-,-
Sofia,"Tubers have good  resistance to splitting and excellent  resistance to bruising.Â Â Trials have found good resistance to skin spot and silver scurf.Â This variety has low resistance to dry rot (<i>Fusarium suplphureum</i>), late blight on foliage and late blight on tubers..Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and susceptibility to <i>Globodera pallida</i> Pa 2/3, 1.","AR84-1606 x KO87-1043",1,"Agrico UK Ltd","Castleton of Eassie",,"By Forfar",Angus,"DD8 1SJ","UNITED KINGDOM",potatoes@agrico.co.uk,www.agrico.co.uk,"+44 (0)1307 840551","+44 (0)1307 840245","Greenvale AP",Springfield,Burrelton,Blairgowrie,Perthshire,"PH13 9PJ","UNITED KINGDOM",post@greenvale.co.uk,www.greenvale.co.uk,"+44 (0)1828 670343","+44 (0)1828 670636",-,-,-,-,-,-,-,"Second Early","Short - medium",-,-,8,6,-,-,-,-,-,2,9,4,5,1,4,7,9,5,5,2,2,-,-,-,-
Sorrento,,"Vales Sovereign x Axona",1,-,-,-,-,-,-,-,-,-,-,-,"Greenvale AP",Springfield,Burrelton,Blairgowrie,Perthshire,"PH13 9PJ","UNITED KINGDOM",post@greenvale.co.uk,www.greenvale.co.uk,"+44 (0)1828 670343","+44 (0)1828 670636",-,-,"Red parti-coloured",Cream,Shallow,-,Pink,Maincrop,-,White,-,4,7,-,-,-,8,-,2,1,7,6,6,3,4,7,7,8,6,7,-,-,-,-
Sparkle,"Trials have found good resistance to skin spot and some resistance to black dot and silver scurf. Â This variety has low resistance to blackleg.Â Â Tests for resistance to potato cyst nematode demonstrated resistance to  <i>Globodera rostochiensis</i> Ro1  and partial resistance to  <i>Globodera pallida</i> Pa 2/3, 1.","Nadine x L2883/0014",1,"P Watts",AFBI,,Loughgall,Armagh,"BT61 8JB","UNITED KINGDOM",,,,,-,-,-,-,-,-,-,-,-,-,-,2037,"Short - oval",White,"Medium yellow",Shallow,Smooth,Pink,Maincrop,Tall,"Red violet",Absent,6,5,3,-,-,-,3,4,9,4,2,5,-,8,6,6,5,5,5,-,-,-,-
Spunta,"Tubers are long with shallow depth of eyes and white skin.  The flesh is light yellow.  This variety is susceptible to common scab, splitting, potato cyst nematode <i> Globodera rostochiensis</i> Ro1 and <i> Globodera pallida </i> Pa2/3,1.  ","Bea x USDA 96-56",1,-,-,-,-,-,-,-,-,-,-,-,"Higgins Agriculture Ltd","Greenbank House",Finningley,Doncaster,,"DN9 3BZ","UNITED KINGDOM",potatoes@higgins.co.uk,www.higgins.eu.com,"+44 (0)1302 770591","+44 (0)1302 770668",2010,Long,White,"Light yellow",Shallow,Medium,Blue,"Second Early",Tall,White,Absent,4,3,5,-,-,-,4,2,2,3,-,-,-,-,-,-,-,6,4,-,-,-,-
Stemster,"Stemster gives a high yield of bold, red skinned tubers and shows good drought and heat tolerance and has light yellow flesh.  Susceptible to potato leafroll virus.  Shows resistance to potato virus Yo and bruising.  When tested for resistance to potato cyst nematode, showed susceptibility to <i> Globodera pallida </i> Pa2/3,1 and resistant to <i> Globodera rostochiensis </i> Ro1.","Desiree x Maris Piper",1,"Caithness Potato Breeders Ltd","Brigade House","Brigade Street",Blackheath,London,"SE3 0TW","UNITED KINGDOM",exportenquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)20 8297 1020","+44 (0)20 8297 2125","Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2016,"Oval - long",Red,"Light yellow",Shallow,Medium,Pink,"Early Maincrop","Medium - tall","Red violet",Few,7,6,7,-,-,-,3,2,9,4,6,-,-,-,-,-,6,5,4,-,-,-,-
Strachan,,"98-HG-16.4 X Olympus",1,"Higgins Agriculture Ltd","Greenbank House",Finningley,Doncaster,,"DN9 3BZ","UNITED KINGDOM",potatoes@higgins.co.uk,www.higgins.eu.com,"+44 (0)1302 770591","+44 (0)1302 770668",-,-,-,-,-,-,-,-,-,-,-,-,Oval,White,"Medium yellow",Shallow,-,Blue,"Early Maincrop",Medium,"Blue violet",-,3,7,2,1,5,9,6,3,2,6,4,1,6,7,3,8,4,6,4,-,-,-,-
Stroma,"Stroma gives a good yield of attractive red skinned tubers. It has good resistance to common and powdery scab, partial PCN resistance and worthwhile resistance to blight. Flesh colour is yellow.","S Vernei x Desiree",1,"Caithness Potato Breeders Ltd","Brigade House","Brigade Street",Blackheath,London,"SE3 0TW","UNITED KINGDOM",exportenquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)20 8297 1020","+44 (0)20 8297 2125","Caithness Potatoes Ltd","26 York Place",,Perth,,"PH2 8EH","UNITED KINGDOM",enquiries@caithnesspotatoes.com,www.caithnesspotatoes.com,"+44 (0)1738 446723","+44 (0)1738 628124",2019,"Oval - long",Red,"Medium yellow","Very shallow",Smooth,Pink,"Second Early","Short - medium","Red violet",Few,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sunita,"Early yellow fleshed baker.  Testing was conducted in one year only for common scab and mop top (spraing), the rating based on this is a 6 for common scab and a 5 for mop top (spraing).
","Marabel x Carrera",1,"HZPC Holland B.V.","Box 88",NL-8500,"AB Joure",,,NETHERLANDS,,,,,"HZPC UK Limited","2 Wharf Road",Crowle,Scunthorpe,"North Lincolnshire","DN17 4HS","UNITED KINGDOM",info.uk@hzpc.com,www.hzpc.co.uk,"+44 (0)1724 71 00 33","+44 (0)1724 71 00 99",2043,"Short - oval",Yellow,"Medium yellow",Shallow,Smooth,-,"First Early",Medium,-,-,7,6,5,9,-,-,-,2,9,-,3,1,4,4,7,4,5,3,3,Medium,18.2%,-,Smooth
